,aryl_halide_CAS_Number_index,additive_CAS_Number_index,base_CAS_Number_index,Pd(0)-ligand_CAS_Number_index,yield
569,402-43-7,15055-81-9,84030-20-6,1536473-72-9,<Enter Response>
1768,109-04-6,1006-65-1,84030-20-6,1445972-29-1,<Enter Response>
2543,626-60-8,1006-65-1,165535-45-5,1445085-55-1,<Enter Response>
2768,1120-90-7,271-58-9,165535-45-5,1445972-29-1,<Enter Response>
1802,109-04-6,271-58-9,29166-72-1,1447963-75-8,<Enter Response>
1942,109-09-1,1008-75-9,165535-45-5,1447963-75-8,<Enter Response>
1129,98-56-6,517870-23-4,29166-72-1,1536473-72-9,<Enter Response>
619,622-98-0,1006-65-1,84030-20-6,1445085-55-1,<Enter Response>
2043,109-09-1,51135-73-0,29166-72-1,1445085-55-1,<Enter Response>
692,622-98-0,3209-72-1,165535-45-5,1445972-29-1,<Enter Response>
